"Date","Open","High","Low","Close"
"Wed May 08 2002 00:00:00 GMT+0530 (India Standard Time)","1110.70","1122.70","1110.70","1117.50"
"Thu May 09 2002 00:00:00 GMT+0530 (India Standard Time)","1117.70","1136.50","1117.70","1127.50"
"Fri May 10 2002 00:00:00 GMT+0530 (India Standard Time)","1127.00","1127.30","1111.10","1116.40"
"Mon May 13 2002 00:00:00 GMT+0530 (India Standard Time)","1116.80","1121.90","1114.20","1119.60"
"Tue May 14 2002 00:00:00 GMT+0530 (India Standard Time)","1119.90","1125.90","1111.40","1115.00"
"Wed May 15 2002 00:00:00 GMT+0530 (India Standard Time)","1115.10","1121.50","1102.60","1107.80"
"Thu May 16 2002 00:00:00 GMT+0530 (India Standard Time)","1108.20","1111.20","1089.80","1092.80"
"Fri May 17 2002 00:00:00 GMT+0530 (India Standard Time)","1092.80","1099.70","1079.90","1090.60"
"Mon May 20 2002 00:00:00 GMT+0530 (India Standard Time)","1091.70","1097.90","1071.30","1074.30"
"Tue May 21 2002 00:00:00 GMT+0530 (India Standard Time)","1074.70","1074.80","1028.20","1049.20"
"Wed May 22 2002 00:00:00 GMT+0530 (India Standard Time)","1049.50","1050.90","1035.50","1045.30"
"Thu May 23 2002 00:00:00 GMT+0530 (India Standard Time)","1045.20","1045.30","1024.30","1026.70"
"Fri May 24 2002 00:00:00 GMT+0530 (India Standard Time)","1026.90","1069.20","1026.90","1067.00"
"Mon May 27 2002 00:00:00 GMT+0530 (India Standard Time)","1067.00","1071.50","1054.00","1062.70"
"Tue May 28 2002 00:00:00 GMT+0530 (India Standard Time)","1061.90","1062.30","1034.00","1038.20"
"Wed May 29 2002 00:00:00 GMT+0530 (India Standard Time)","1038.20","1047.90","1026.50","1041.60"
"Thu May 30 2002 00:00:00 GMT+0530 (India Standard Time)","1041.40","1049.90","1030.00","1032.10"
"Fri May 31 2002 00:00:00 GMT+0530 (India Standard Time)","1032.50","1037.70","1020.10","1028.80"
"Mon Jun 03 2002 00:00:00 GMT+0530 (India Standard Time)","1029.20","1047.20","1029.20","1039.70"
"Tue Jun 04 2002 00:00:00 GMT+0530 (India Standard Time)","1040.10","1047.40","1036.50","1045.40"
"Wed Jun 05 2002 00:00:00 GMT+0530 (India Standard Time)","1045.50","1067.50","1045.00","1064.20"
"Thu Jun 06 2002 00:00:00 GMT+0530 (India Standard Time)","1064.10","1072.00","1055.50","1064.30"
"Fri Jun 07 2002 00:00:00 GMT+0530 (India Standard Time)","1063.70","1063.70","1044.30","1048.80"
"Mon Jun 10 2002 00:00:00 GMT+0530 (India Standard Time)","1049.90","1072.50","1049.90","1069.90"
"Tue Jun 11 2002 00:00:00 GMT+0530 (India Standard Time)","1070.90","1099.50","1070.50","1097.00"
"Wed Jun 12 2002 00:00:00 GMT+0530 (India Standard Time)","1097.10","1100.40","1088.50","1092.80"
"Thu Jun 13 2002 00:00:00 GMT+0530 (India Standard Time)","1093.00","1102.00","1080.80","1082.80"
"Fri Jun 14 2002 00:00:00 GMT+0530 (India Standard Time)","1081.70","1087.50","1079.40","1085.70"
"Mon Jun 17 2002 00:00:00 GMT+0530 (India Standard Time)","1085.80","1097.50","1085.70","1088.90"
"Tue Jun 18 2002 00:00:00 GMT+0530 (India Standard Time)","1088.90","1097.40","1073.70","1074.90"
"Wed Jun 19 2002 00:00:00 GMT+0530 (India Standard Time)","1074.70","1079.20","1056.40","1062.90"
"Thu Jun 20 2002 00:00:00 GMT+0530 (India Standard Time)","1063.00","1074.00","1056.20","1070.00"
"Fri Jun 21 2002 00:00:00 GMT+0530 (India Standard Time)","1069.50","1069.80","1058.90","1062.50"
"Mon Jun 24 2002 00:00:00 GMT+0530 (India Standard Time)","1065.50","1065.50","1054.40","1061.80"
"Tue Jun 25 2002 00:00:00 GMT+0530 (India Standard Time)","1061.90","1063.30","1048.50","1055.40"
"Wed Jun 26 2002 00:00:00 GMT+0530 (India Standard Time)","1055.30","1061.00","1042.20","1044.20"
"Thu Jun 27 2002 00:00:00 GMT+0530 (India Standard Time)","1044.50","1053.70","1044.00","1048.50"
"Fri Jun 28 2002 00:00:00 GMT+0530 (India Standard Time)","1049.40","1068.90","1049.40","1057.80"
"Mon Jul 01 2002 00:00:00 GMT+0530 (India Standard Time)","1058.00","1070.10","1058.00","1068.90"
"Tue Jul 02 2002 00:00:00 GMT+0530 (India Standard Time)","1067.90","1071.70","1064.90","1068.00"
"Wed Jul 03 2002 00:00:00 GMT+0530 (India Standard Time)","1067.80","1074.00","1065.50","1069.90"
"Thu Jul 04 2002 00:00:00 GMT+0530 (India Standard Time)","1069.90","1078.50","1068.40","1070.50"
"Fri Jul 05 2002 00:00:00 GMT+0530 (India Standard Time)","1071.00","1076.20","1067.40","1073.80"
"Mon Jul 08 2002 00:00:00 GMT+0530 (India Standard Time)","1074.00","1085.30","1072.90","1082.00"
"Tue Jul 09 2002 00:00:00 GMT+0530 (India Standard Time)","1081.90","1083.60","1077.50","1080.30"
"Wed Jul 10 2002 00:00:00 GMT+0530 (India Standard Time)","1081.50","1087.40","1069.40","1071.70"
"Thu Jul 11 2002 00:00:00 GMT+0530 (India Standard Time)","1070.90","1070.90","1055.30","1056.50"
"Fri Jul 12 2002 00:00:00 GMT+0530 (India Standard Time)","1057.00","1064.90","1054.90","1058.20"
"Mon Jul 15 2002 00:00:00 GMT+0530 (India Standard Time)","1057.90","1058.40","1043.30","1048.00"
"Tue Jul 16 2002 00:00:00 GMT+0530 (India Standard Time)","1047.90","1051.80","1033.90","1035.90"
"Wed Jul 17 2002 00:00:00 GMT+0530 (India Standard Time)","1035.90","1037.50","1025.00","1032.50"
"Thu Jul 18 2002 00:00:00 GMT+0530 (India Standard Time)","1032.50","1044.00","1032.50","1041.30"
"Fri Jul 19 2002 00:00:00 GMT+0530 (India Standard Time)","1041.30","1041.50","1032.20","1035.90"
"Mon Jul 22 2002 00:00:00 GMT+0530 (India Standard Time)","1035.20","1035.20","1009.00","1012.00"
"Tue Jul 23 2002 00:00:00 GMT+0530 (India Standard Time)","1012.00","1023.60","1005.70","1021.90"
